"","eixo","tipo_pergunta","pair_id","pergunta"
"20","Social Policies","P+","10","Habitação popular deve focar em parcerias público-privadas para evitar desperdícios."
"21","Social Policies","P-","10","Programas de habitação popular precisam de mais recursos estatais para moradia digna."
"22","Economics","P+","11","A reforma tributária precisa simplificar impostos para atrair investimentos."
"23","Economics","P-","11","A reforma tributária deve taxar mais os ricos para redistribuir renda."
"24","Economics","P+","12","Infraestrutura cresce mais com concessões privadas e menos intervencionismo estatal."
"25","Economics","P-","12","Investimentos em infraestrutura devem ser financiados por impostos progressivos."
"26","Public Safety","P+","13","Facilitar porte de armas permite autodefesa legítima contra criminosos."
"27","Public Safety","P-","13","Porte de armas para cidadãos deve ser restrito para reduzir violência urbana."
"28","Public Safety","P+","14","UPPs precisam de presença ostensiva para retomar territórios do crime."
"29","Public Safety","P-","14","Policiais comunitários devem priorizar diálogo com comunidades vulneráveis."
"30","Public Safety","P+","15","Mais inteligência policial com tecnologia previne crimes antes que ocorram."
"31","Public Safety","P-","15","Inteligência policial deve respeitar privacidade para evitar abusos."
"32","Environment","P+","16","Agropecuária moderna impulsiona economia sem destruir o meio ambiente."
"33","Environment","P-","16","Expansão agropecuária deve respeitar limites de preservação da floresta."
"34","Environment","P+","17","Mineração regulada em terras indígenas gera riqueza com contrapartidas."
"35","Environment","P-","17","Mineração em terras indígenas deve ser proibida para preservar culturas."
"36","Democratic Institutions","P+","18","Federalismo forte exige responsabilidade fiscal de entes subnacionais."
"37","Democratic Institutions","P-","18","Federalismo deve transferir mais recursos para estados e municípios pobres."
"38","Corruption and Justice","P+","19","Punições severas e rápidas são o melhor antídoto à corrupção."
"39","Corruption and Justice","P-","19","Combate à corrupção deve priorizar prevenção social e econômica."
"40","Education and Culture","P+","20","Escolas cívico-militares elevam disciplina e desempenho no fundamental."
"41","Education and Culture","P-","20","Ensino fundamental público deve investir em inclusão de alunos vulneráveis."
"42","Education and Culture","P+","21","Ensino superior deve priorizar expansão privada com qualidade."
"43","Education and Culture","P-","21","Universidades públicas precisam de financiamento estável para pesquisa."
"44","Social Policies","P+","22","Programas de transferência de renda devem ser mais focalizados e condicionados para evitar dependência e incentivar autonomia."
"45","Social Policies","P-","22","O Bolsa Família deve ser fortalecido com valores adequados e acompanhamento social para reduzir pobreza e desigualdade."
"46","Social Policies","P+","23","O governo deve apoiar famílias com vouchers e convênios para que escolham creches, em vez de expandir estrutura estatal."
"47","Social Policies","P-","23","É necessário ampliar a rede pública de creches e pré-escola para garantir igualdade de oportunidades desde a infância."
"48","Economics","P+","24","O crescimento sustentável depende de responsabilidade fiscal e ambiente de negócios, não de expansão de gasto público."
"49","Economics","P-","24","O governo deve usar investimento público e obras para estimular emprego e crescimento quando a economia desacelera."
"50","Economics","P+","25","O crédito deve ser majoritariamente privado e guiado por risco, evitando subsídios que distorcem o mercado."
"51","Economics","P-","25","O crédito público e bancos estatais devem apoiar pequenas empresas e setores estratégicos com juros menores."
"52","Public Safety","P+","26","O cidadão deve ter mais facilidade para ter arma legal e se defender, com regras claras e fiscalização."
"53","Public Safety","P-","26","O controle de armas deve ser rigoroso para reduzir homicídios e acidentes."
"54","Public Safety","P+","27","A investigação criminal deve ser acompanhada de leis mais duras para garantir punição rápida e dissuasão."
"55","Public Safety","P-","27","A investigação criminal deve receber mais recursos e tecnologia para aumentar elucidação sem ampliar encarceramento em massa."
"56","Environment","P+","28","A política ambiental deve conciliar produção e conservação, evitando multas abusivas e burocracia que travam o setor produtivo."
"57","Environment","P-","28","O combate ao desmatamento deve ser prioridade com fiscalização forte e proteção de unidades de conservação."
"58","Environment","P+","29","A transição energética deve ocorrer com pragmatismo, aproveitando matriz existente e atraindo capital privado."
"59","Environment","P-","29","A transição energética deve acelerar com investimento público em renováveis e transporte coletivo limpo."
"60","Environment","P+","30","Cidades devem buscar soluções de infraestrutura com parcerias privadas e foco em eficiência na gestão urbana."
"61","Environment","P-","30","Cidades devem priorizar urbanismo sustentável com saneamento universal e controle de enchentes para proteger os mais pobres."
"62","Democratic Institutions","P+","31","O combate à desinformação não pode virar controle estatal de conteúdo e deve preservar liberdade de expressão."
"63","Democratic Institutions","P-","31","A liberdade de imprensa deve ser protegida com transparência e combate à desinformação sem censura."
"64","Democratic Institutions","P+","32","O financiamento deve ser mais aberto a doações privadas com transparência, reduzindo dependência de fundo público."
"65","Democratic Institutions","P-","32","O financiamento público e regras rígidas de campanha ajudam a reduzir o poder do dinheiro nas eleições."
"66","Corruption and Justice","P+","33","A segurança jurídica deve priorizar estabilidade regulatória e respeito a contratos para atrair investimentos."
"67","Corruption and Justice","P-","33","A política de segurança jurídica deve equilibrar proteção ao investimento com direitos trabalhistas e ambientais."
"68","Education and Culture","P+","34","A educação deve priorizar gestão eficiente, metas e avaliação, com foco em resultados antes de aumentar gastos."
"69","Education and Culture","P-","34","A educação pública deve receber mais investimento e valorização docente para reduzir desigualdades de aprendizagem."
"70","Education and Culture","P+","35","A educação profissional deve ser guiada pela demanda do mercado e por parcerias com empresas para formar mão de obra rapidamente."
"71","Education and Culture","P-","35","A educação profissional deve ser expandida com políticas públicas para inserir jovens no trabalho com direitos e proteção."
